2020-03-24 15:54:24 | 1585036464.2738 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 15:54:24 | 1585036464.2758 | ERROR | ================================================================================
2020-03-24 15:54:24 | 1585036464.8484 | ERROR | ErrorNO: 9999
2020-03-24 15:54:24 | 1585036464.8510 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 15:54:24 | 1585036464.8529 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:54:24 | 1585036464.8550 | ERROR | Line: 521
2020-03-24 15:54:24 | 1585036464.8571 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 15:54:24 | 1585036464.8591 | ERROR | ================================================================================
2020-03-24 15:54:26 | 1585036466.6697 | ERROR | ErrorNO: 9999
2020-03-24 15:54:26 | 1585036466.6720 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 15:54:26 | 1585036466.6739 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:54:26 | 1585036466.6759 | ERROR | Line: 521
2020-03-24 15:54:26 | 1585036466.6778 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 15:54:26 | 1585036466.6799 | ERROR | ================================================================================
2020-03-24 15:54:38 | 1585036478.2027 | ERROR | ErrorNO: 9999
2020-03-24 15:54:38 | 1585036478.2055 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 15:54:38 | 1585036478.2075 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:54:38 | 1585036478.2093 | ERROR | Line: 521
2020-03-24 15:54:38 | 1585036478.2111 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 15:54:38 | 1585036478.2129 | ERROR | ================================================================================
2020-03-24 15:54:51 | 1585036491.7994 | ERROR | ErrorNO: 9999
2020-03-24 15:54:51 | 1585036491.8038 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 15:54:51 | 1585036491.8061 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:54:51 | 1585036491.8078 | ERROR | Line: 521
2020-03-24 15:54:51 | 1585036491.8098 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 15:54:51 | 1585036491.8118 | ERROR | ================================================================================
2020-03-24 15:54:52 | 1585036492.5474 | ERROR | ErrorNO: 9999
2020-03-24 15:54:52 | 1585036492.5495 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 15:54:52 | 1585036492.5514 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:54:52 | 1585036492.5530 | ERROR | Line: 521
2020-03-24 15:54:52 | 1585036492.5549 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 15:54:52 | 1585036492.5570 | ERROR | ================================================================================
2020-03-24 15:54:57 | 1585036497.2098 | ERROR | ErrorNO: 9999
2020-03-24 15:54:57 | 1585036497.2118 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 15:54:57 | 1585036497.2140 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:54:57 | 1585036497.2155 | ERROR | Line: 521
2020-03-24 15:54:57 | 1585036497.2170 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 15:54:57 | 1585036497.2186 | ERROR | ================================================================================
